time,flux,flux_err
1427.332642,0.978522,0.249636
1427.397217,0.977553,0.243229
1427.473145,0.975971,0.246661
1427.544678,0.974823,0.248492
1427.607666,0.973595,0.247161
1427.68457,0.972433,0.249357
1427.754395,0.97144,0.24388
1427.828979,0.969618,0.249966
1427.896851,0.968666,0.258933
1427.962646,0.968047,0.24693
1428.03833,0.966988,0.245612
1428.109009,0.965484,0.251353
1428.173706,0.964618,0.246251
1428.248657,0.964464,0.253749
1428.320557,0.963256,0.250408
1428.391968,0.962715,0.26526
1428.456787,0.962013,0.243699
1428.533325,0.961231,0.251953
1428.598145,0.961468,0.24727
1428.667969,0.961258,0.252216
1428.725952,0.96098,0.243654
1429.027466,0.96188,0.250601
1429.093872,0.961988,0.245917
1429.164062,0.962517,0.247113
1429.234375,0.963453,0.244788
1429.296631,0.96389,0.24534
1429.378052,0.965006,0.252241
1429.435547,0.965919,0.243117
1429.507324,0.96731,0.244907
1429.584961,0.968756,0.252123
1429.65332,0.97015,0.252069
1429.720947,0.971489,0.244699
1429.794434,0.972767,0.244099
1429.863647,0.974054,0.243921
1429.93689,0.975188,0.250012
1430.006104,0.976839,0.252482
1430.075684,0.977734,0.248447
1430.14209,0.979157,0.245884
1430.212524,0.981019,0.243974
1430.282593,0.982105,0.239554
1430.361084,0.983726,0.248252
1430.423584,0.984267,0.249917
1430.503662,0.985627,0.249661
1430.572388,0.98729,0.240739
1430.644165,0.988106,0.252351
1430.709229,0.988971,0.248107
1430.779297,0.989192,0.241334
1430.852173,0.990474,0.24001
1430.920532,0.991615,0.244809
1430.991699,0.992805,0.24728
1431.064697,0.99351,0.247952
1431.129761,0.994355,0.233001
1431.209106,0.995791,0.240661
1431.274658,0.996497,0.239386
1431.348877,0.997445,0.23882
1431.421753,0.997532,0.237633
1431.481201,0.997853,0.225095
1431.555542,0.998839,0.228853
1431.625244,0.999353,0.226502
1431.703003,0.999522,0.222215
1431.765259,0.99937,0.228848
1431.838867,0.998934,0.233052
1431.913452,0.998434,0.227545
1431.981934,0.998447,0.225249
1432.052246,0.997609,0.22203
1432.119263,0.997306,0.228453
1432.19397,0.99741,0.222879
1432.264038,0.997012,0.226593
1432.329468,0.996173,0.225559
1432.400879,0.995821,0.222508
1432.472656,0.995478,0.22305
1432.543213,0.995503,0.225979
1432.616577,0.994878,0.224577
1432.682617,0.994993,0.2223
1432.759033,0.994074,0.22207
1432.824951,0.994236,0.22501
1432.894287,0.993806,0.228182
1432.967773,0.993685,0.226824
1433.035522,0.993212,0.223205
1433.109375,0.993585,0.228408
1433.181885,0.993566,0.233481
1433.249512,0.993576,0.228528
1433.312622,0.993736,0.228361
1433.389648,0.992957,0.223659
1433.456909,0.993071,0.21404
1433.533569,0.993648,0.219733
1433.603394,0.993336,0.212564
1433.670166,0.993685,0.214565
1433.739624,0.993674,0.221422
1433.812012,0.993636,0.217965
1433.884521,0.993907,0.235384
1433.949097,0.994502,0.218057
1434.002319,0.995274,0.202542
1749.06936,0.98276,0.001011
1749.1395,0.98294,0.00103
1749.20963,0.98323,0.001121
1749.27977,0.98357,0.00108
1749.34991,0.98302,0.001098
1749.42005,0.98368,0.001037
1749.49019,0.98418,0.001039
1749.56033,0.98522,0.001121
1749.63047,0.98574,0.000953
1749.70061,0.98538,0.00096
1749.77075,0.98569,0.00087
1749.84088,0.98637,0.000729
1749.91102,0.98664,0.000713
1749.98116,0.98652,0.000639
1750.0513,0.987,0.000623
1750.12144,0.98727,0.000613
1750.19158,0.98767,0.000589
1750.26172,0.98823,0.000516
1750.33186,0.98781,0.00053
1750.402,0.98837,0.000547
1750.47213,0.98936,0.000525
1750.54227,0.98929,0.000536
1750.61241,0.98947,0.000592
1750.68255,0.98954,0.000565
1750.75269,0.98976,0.00053
1750.82283,0.99029,0.000504
1750.89297,0.9904,0.000494
1750.96311,0.99039,0.000507
1751.03325,0.99096,0.000503
